Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Stephen,Blade Runner 2049_hook_primary_16x9,LG 2017 LG M16p Standard UHD TV Smart TV,2022-04-26 03:55:24,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":4654,""mediaOffsetMs"":0}]"
Mom,Virgin River: Season 1 (Trailer),Roku Midland Smart TV,2022-05-07 05:32:18,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":6111,""mediaOffsetMs"":0}]"
Mom,Heartland: Season 12_hook_primary_16x9,Roku Midland Smart TV,2022-05-07 05:31:43,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":5590,""mediaOffsetMs"":0}]"
Mom,The Other Boleyn Girl_hook_primary_16x9,Roku Midland Smart TV,2022-05-02 02:01:04,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":3783,""mediaOffsetMs"":0}]"
Mom,Peaky Blinders (Trailer),Roku Midland Smart TV,2022-05-02 02:01:01,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":3727,""mediaOffsetMs"":0}]"
Mom,The Other Boleyn Girl_hook_primary_16x9,Roku Midland Smart TV,2022-05-02 02:00:58,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2636,""mediaOffsetMs"":0}]"
Mom,Trailer: Inventing Anna,Roku Midland Smart TV,2022-05-02 02:00:57,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":20},{""eventType"":""stopped"",""sessionOffsetMs"":2725,""mediaOffsetMs"":20}]"
Mom,Season 4 Part 1 Teaser: Ozark,Roku Midland Smart TV,2022-05-02 02:00:23,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":5921,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":33979,""mediaOffsetMs"":27928},{""eventType"":""stopped"",""sessionOffsetMs"":36620,""mediaOffsetMs"":27957}]"
Mom,Reign: Season 1_hook_primary_16x9,Roku Midland Smart TV,2022-05-02 02:00:20,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":3345,""mediaOffsetMs"":0}]"
Mom,Heartland: Season 12_hook_primary_16x9,Roku Midland Smart TV,2022-05-02 02:00:13,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":4651,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":6932,""mediaOffsetMs"":2382},{""eventType"":""stopped"",""sessionOffsetMs"":9834,""mediaOffsetMs"":2163}]"
Mom,Season 4 Part 2 Cliffhanger Clip: Ozark,Roku Midland Smart TV,2022-05-02 02:00:08,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":5822,""mediaOffsetMs"":0}]"
Zoie,Victorious: Season 1_hook_primary_16x9,Amazon TVAFTBL Smart TV,2022-05-25 03:39:20,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2364,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":13301,""mediaOffsetMs"":10848},{""eventType"":""stopped"",""sessionOffsetMs"":35051,""mediaOffsetMs"":10241}]"
Zoie,Season 1 Trailer: Our Great National Parks,Amazon TVAFTBL Smart TV,2022-05-25 03:39:18,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2829,""mediaOffsetMs"":0}]"
Zoie,Victorious: Season 1_hook_primary_16x9,Amazon TVAFTBL Smart TV,2022-05-25 03:39:12,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":4279,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":5425,""mediaOffsetMs"":843},{""eventType"":""stopped"",""sessionOffsetMs"":7993,""mediaOffsetMs"":883}]"
Zoie,Season 1 Teaser: The Boss Baby: Back in the Crib,Amazon TVAFTBL Smart TV,2022-05-25 03:39:09,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2413,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2751,""mediaOffsetMs"":258},{""eventType"":""stopped"",""sessionOffsetMs"":4293,""mediaOffsetMs"":307}]"
Zoie,All American: Season 1_hook_primary_16x9,Amazon TVAFTBL Smart TV,2022-05-25 03:39:09,US,[]
Zoie,Richie Rich: Season 2 (Trailer),Amazon TVAFTBL Smart TV,2022-05-25 03:39:07,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2594,""mediaOffsetMs"":0}]"
Zoie,"Victorious: Season 1: ""The Great Ping-Pong Scam""",LG DTV 2020 RTK K6Lp UHD TV Smart TV,2022-05-24 13:36:47,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":4000},{""eventType"":""playing"",""sessionOffsetMs"":1499,""mediaOffsetMs"":4000},{""eventType"":""stopped"",""sessionOffsetMs"":186499,""mediaOffsetMs"":189000}]"
Zoie,"Victorious: Season 1: ""The Wood""",LG DTV 2020 RTK K6Lp UHD TV Smart TV,2022-05-24 13:13:13,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":4000},{""eventType"":""playing"",""sessionOffsetMs"":1470,""mediaOffsetMs"":4000},{""eventType"":""paused"",""sessionOffsetMs"":1414191,""mediaOffsetMs"":1413203},{""eventType"":""stopped"",""sessionOffsetMs"":1414633,""mediaOffsetMs"":1413264}]"
Zoie,"Victorious: Season 1: ""Sleepover at Sikowitz's""",LG DTV 2020 RTK K6Lp UHD TV Smart TV,2022-05-24 13:10:13,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":1239000},{""eventType"":""playing"",""sessionOffsetMs"":3125,""mediaOffsetMs"":1239000},{""eventType"":""paused"",""sessionOffsetMs"":180147,""mediaOffsetMs"":1412202},{""eventType"":""stopped"",""sessionOffsetMs"":180546,""mediaOffsetMs"":1412262}]"
Zoie,"Dragons: Race to the Edge: Season 6: ""Ruff Transition""",LG DTV 2020 RTK K6Lp UHD TV Smart TV,2022-05-24 13:10:07,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":3003,""mediaOffsetMs"":0}]"
Zoie,Season 1 Teaser: Super PupZ,LG DTV 2020 RTK K6Lp UHD TV Smart TV,2022-05-24 13:09:37,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2005,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":28827,""mediaOffsetMs"":26818},{""eventType"":""stopped"",""sessionOffsetMs"":30538,""mediaOffsetMs"":26611}]"
Zoie,DreamWorks Dragons: Race to the Edge: Season 6 (Trailer),LG DTV 2020 RTK K6Lp UHD TV Smart TV,2022-05-24 13:09:35,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":2767,""mediaOffsetMs"":0}]"
Zoie,Top Gun_hook_05_16x9,LG DTV 2020 RTK K6Lp UHD TV Smart TV,2022-05-24 13:09:33,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1653,""mediaOffsetMs"":0}]"
Zoie,"Fuller House: Season 2: ""Glazed & Confused""",Amazon TVAFTBL Smart TV,2022-05-24 04:38:31,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3031,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":32062,""mediaOffsetMs"":28865},{""eventType"":""stopped"",""sessionOffsetMs"":35026,""mediaOffsetMs"":27892}]"
Zoie,Season 1 Teaser: Super PupZ,Amazon TVAFTBL Smart TV,2022-05-24 04:38:23,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2433,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":5421,""mediaOffsetMs"":3022},{""eventType"":""stopped"",""sessionOffsetMs"":8526,""mediaOffsetMs"":2348}]"
Zoie,Season 1 Teaser: Super PupZ,Amazon TVAFTBL Smart TV,2022-05-24 04:38:20,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":3750,""mediaOffsetMs"":0}]"
