Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Mom,2022-05-02 02:00:23,00:00:27,Autoplayed: user action: None; ,Season 4 Part 1 Teaser: Ozark,TEASER_TRAILER,Roku Midland Smart TV,00:00:27,00:00:27,US (United States)
Mom,2022-04-21 05:44:36,00:00:12,Autoplayed: user action: None; ,"Heartland: Season 4: Win, Place or Show (Episode 6)",,Roku Midland Smart TV,00:37:46,00:37:46,US (United States)
Mom,2022-04-21 05:44:22,00:00:08,Autoplayed: user action: None; ,Heartland: Season 1_hook_primary_16x9,HOOK,Roku Midland Smart TV,00:00:08,00:00:08,US (United States)
Mom,2022-04-21 04:35:44,01:08:34,,Bridgerton: Season 2: The Viscount Who Loved Me (Episode 8),,Roku Midland Smart TV,01:08:47,01:08:47,US (United States)
Mom,2022-04-21 03:03:41,00:55:22,,Bridgerton: Season 2: Harmony (Episode 7),,Roku Midland Smart TV,00:55:23,00:55:23,US (United States)
Mom,2022-04-19 05:46:38,00:00:05,Autoplayed: user action: None; ,Bridgerton: Season 2: Harmony (Episode 7),,Roku Midland Smart TV,00:00:18,Not latest view,US (United States)
Mom,2022-04-19 04:41:34,01:05:00,,Bridgerton: Season 2: The Choice (Episode 6),,Roku Midland Smart TV,01:05:13,01:05:13,US (United States)
Mom,2022-04-19 03:42:28,00:54:56,Autoplayed: user action: User_Interaction; ,Bridgerton: Season 2: An Unthinkable Fate (Episode 5),,Roku Midland Smart TV,00:55:09,00:55:09,US (United States)
Mom,2022-04-19 02:45:40,00:54:36,,Bridgerton: Season 2: Victory (Episode 4),,Roku Midland Smart TV,00:54:37,00:54:37,US (United States)
Mom,2022-04-19 02:45:14,00:00:10,Autoplayed: user action: None; ,Limited Series Trailer 2: Anatomy of a Scandal,TRAILER,Roku Midland Smart TV,00:00:10,00:00:10,US (United States)
Mom,2022-04-13 05:20:11,01:04:34,,Bridgerton: Season 2: A Bee in Your Bonnet (Episode 3),,Roku Midland Smart TV,01:04:47,01:04:47,US (United States)
Mom,2022-04-13 03:37:45,00:49:47,Autoplayed: user action: User_Interaction; ,Bridgerton: Season 2: Off to the Races (Episode 2),,Roku Midland Smart TV,00:50:01,00:50:01,US (United States)
Mom,2022-04-13 02:31:42,01:05:57,,Bridgerton: Season 2: Capital R Rake (Episode 1),,Roku Midland Smart TV,01:06:49,01:06:49,US (United States)
Mom,2022-04-13 02:31:33,00:00:05,Autoplayed: user action: None; ,Season 1 Recap: Bridgerton,RECAP,Roku Midland Smart TV,00:00:05,00:00:05,US (United States)
Mom,2022-04-11 04:46:42,00:00:06,Autoplayed: user action: None; ,El Chapo: Season 1: Episode 4,,Roku Midland Smart TV,00:00:25,00:00:25,US (United States)
Mom,2022-04-11 03:56:59,00:48:37,,El Chapo: Season 1: Episode 3,,Roku Midland Smart TV,00:48:56,00:48:56,US (United States)
Mom,2022-04-11 03:10:24,00:46:22,Autoplayed: user action: User_Interaction; ,El Chapo: Season 1: Episode 2,,Roku Midland Smart TV,00:46:42,00:46:42,US (United States)
Mom,2022-04-11 01:59:51,00:53:04,Autoplayed: user action: User_Interaction; ,El Chapo: Season 1: Episode 1,,Roku Midland Smart TV,00:54:15,00:54:15,US (United States)
Mom,2022-03-27 04:43:20,00:01:51,,Anne with an E (Trailer),TRAILER,Roku Midland Smart TV,00:01:51,00:01:51,US (United States)
Mom,2022-03-27 04:41:41,00:01:36,,Top Gun_hook_primary_16x9,HOOK,Roku Midland Smart TV,00:01:36,00:01:36,US (United States)
Mom,2022-03-27 04:39:59,00:01:37,Autoplayed: user action: None; ,Trailer: Rescued by Ruby,TRAILER,Roku Midland Smart TV,00:01:37,00:01:37,US (United States)
Mom,2022-03-27 03:15:57,01:23:58,,Shrek,,Roku Midland Smart TV,01:23:58,01:23:58,US (United States)
Mom,2022-03-27 03:15:27,00:00:20,Autoplayed: user action: None; ,Shrek_hook_primary_16x9,HOOK,Roku Midland Smart TV,00:00:20,00:00:20,US (United States)
Mom,2022-03-27 03:14:53,00:00:07,Autoplayed: user action: None; ,Shrek_hook_primary_16x9,HOOK,Roku Midland Smart TV,00:00:07,Not latest view,US (United States)
Mom,2022-03-27 03:14:20,00:00:10,Autoplayed: user action: None; ,Free Rein: Season 2 (CHARACTER POD),PROMOTIONAL,Roku Midland Smart TV,00:00:10,00:00:10,US (United States)
Mom,2022-03-27 03:12:33,00:00:06,Autoplayed: user action: None; ,Part 8 Trailer: The Ranch,TRAILER,Roku Midland Smart TV,00:00:06,00:00:06,US (United States)
Mom,2022-03-27 03:12:12,00:00:11,Autoplayed: user action: None; ,Longmire: Season 6 (Trailer),TRAILER,Roku Midland Smart TV,00:00:11,00:00:11,US (United States)
Mom,2022-03-27 03:11:34,00:00:28,Autoplayed: user action: None; ,Sniper: Reloaded_hook_01_16x9,HOOK,Roku Midland Smart TV,00:00:28,00:00:28,US (United States)
Mom,2022-03-27 03:10:48,00:00:17,Autoplayed: user action: None; ,Inciting Incident Clip: Rescued By Ruby,HOOK,Roku Midland Smart TV,00:00:17,00:00:17,US (United States)
Mom,2022-03-27 03:10:05,00:00:04,Autoplayed: user action: None; ,Main Character Intro Clip: The Adam Project,HOOK,Roku Midland Smart TV,00:00:04,00:00:04,US (United States)
Mom,2022-03-27 01:27:19,00:00:30,Autoplayed: user action: None; ,Season 2 Genre Specific Moment 2 Clip: Bridgerton,HOOK,LG DTV 2020 RTK K6Lp UHD TV Smart TV,00:00:30,00:00:30,US (United States)
Mom,2022-03-14 04:28:59,00:02:14,,Season 1 Trailer: Vikings: Valhalla,TRAILER,Roku Midland Smart TV,00:02:14,00:02:14,US (United States)
Mom,2022-03-14 04:26:23,00:02:32,,Trailer: The Adam Project,TRAILER,Roku Midland Smart TV,00:02:32,00:02:32,US (United States)
Mom,2022-03-14 04:24:50,00:01:28,Autoplayed: user action: None; ,Season 5 Trailer: The Last Kingdom,TRAILER,Roku Midland Smart TV,00:01:28,00:01:28,US (United States)
Mom,2022-03-14 02:22:22,02:02:24,,Body of Lies,,Roku Midland Smart TV,02:02:24,02:02:24,US (United States)
Mom,2022-03-14 02:22:10,00:00:09,Autoplayed: user action: None; ,Body of Lies_hook_primary_16x9,HOOK,Roku Midland Smart TV,00:00:09,00:00:09,US (United States)
Mom,2022-03-14 02:20:50,00:00:13,Autoplayed: user action: None; ,Shot Caller_hook_primary_16x9,HOOK,Roku Midland Smart TV,00:00:13,00:00:13,US (United States)
Mom,2022-03-14 02:20:10,00:00:07,Autoplayed: user action: None; ,Season 5 Main Character Intro Clip: The Last Kingdom,HOOK,Roku Midland Smart TV,00:00:07,00:00:07,US (United States)
Mom,2022-03-04 17:47:21,00:44:56,,The Outpost,,Roku Midland Smart TV,00:44:56,00:44:56,US (United States)
Mom,2022-03-04 17:46:53,00:00:24,Autoplayed: user action: None; ,The Outpost_hook_04_16x9,HOOK,Roku Midland Smart TV,00:00:24,00:00:24,US (United States)
Mom,2022-03-04 17:46:36,00:00:07,Autoplayed: user action: None; ,Inciting Incident Clip: Sweet Girl,HOOK,Roku Midland Smart TV,00:00:07,00:00:07,US (United States)
Mom,2022-03-04 17:46:01,00:00:19,Autoplayed: user action: None; ,Extraction_VAR2-CLIP_CHARACTER,HOOK,Roku Midland Smart TV,00:00:19,00:00:19,US (United States)
Mom,2022-03-04 17:45:22,00:00:05,Autoplayed: user action: None; ,Season 1 High Context Clip: Worst Roommate Ever,HOOK,Roku Midland Smart TV,00:00:05,00:00:05,US (United States)
Mom,2022-03-04 17:44:47,00:00:08,Autoplayed: user action: None; ,The Highwaymen (Trailer),TRAILER,Roku Midland Smart TV,00:00:08,00:00:08,US (United States)
Mom,2022-03-04 17:44:15,00:00:07,Autoplayed: user action: None; ,Ozark: Season 1 Podular: TEXTLESS / Drama - Crime - Thriller,TRAILER,Roku Midland Smart TV,00:00:07,00:00:07,US (United States)
Mom,2022-03-04 17:44:04,00:00:04,Autoplayed: user action: None; ,Season 1 Main Character Intro Clip: Vikings: Valhalla,HOOK,Roku Midland Smart TV,00:00:04,00:00:04,US (United States)
Mom,2022-03-04 16:06:53,01:36:56,Autoplayed: user action: User_Interaction; ,Sniper: Ghost Shooter,,Roku Midland Smart TV,01:36:56,01:36:56,US (United States)
Mom,2022-03-04 16:06:13,00:00:30,Autoplayed: user action: None; ,Sniper: Ghost Shooter_hook_05_16x9,HOOK,Roku Midland Smart TV,00:00:30,00:00:30,US (United States)
Mom,2022-03-04 16:04:33,00:00:54,Autoplayed: user action: None; ,Triple Frontier (Trailer),TRAILER,Roku Midland Smart TV,00:00:54,00:00:54,US (United States)
Mom,2022-03-04 16:03:27,00:00:32,Autoplayed: user action: None; ,Trailer: Spenser Confidential,TRAILER,Roku Midland Smart TV,00:00:32,00:00:32,US (United States)
Mom,2022-03-04 16:02:57,00:00:24,Autoplayed: user action: None; ,Silverado_hook_02_16x9,HOOK,Roku Midland Smart TV,00:00:24,00:00:24,US (United States)
Mom,2022-03-04 16:01:30,00:00:20,Autoplayed: user action: None; ,Longmire: Season 1_hook_primary_16x9,HOOK,Roku Midland Smart TV,00:00:20,00:00:20,US (United States)
Mom,2022-01-15 02:33:20,00:02:04,,Season 1 Trailer: The Witcher,TRAILER,LG DTV 2020 RTK K6Lp UHD TV Smart TV,00:02:04,00:02:04,US (United States)
Mom,2021-10-24 04:48:24,00:00:13,Autoplayed: user action: None; ,Season 1 Trailer: Squid Game,TRAILER,Samsung 2015 Hawk-M UHD TV,00:00:13,00:00:13,US (United States)
Mom,2021-10-24 02:57:08,01:49:49,Autoplayed: user action: User_Interaction; ,Lawless,,Samsung 2015 Hawk-M UHD TV,01:49:49,01:49:49,US (United States)
Mom,2021-10-21 16:55:22,00:00:56,,Limited Series Genre Specific Moment Clip: Maid,HOOK,DefaultWidevineAndroidPhone,00:00:56,00:00:56,US (United States)
Mom,2021-10-21 16:55:10,00:00:05,,Limited Series Trailer: Maid,TRAILER,DefaultWidevineAndroidPhone,00:00:04,00:00:04,US (United States)
Mom,2021-10-21 15:58:53,00:56:06,,You: Season 3: What Is Love? (Episode 10),,DefaultWidevineAndroidPhone,00:57:33,00:57:33,US (United States)
Mom,2021-10-21 15:36:08,00:17:29,,You: Season 3: Red Flag (Episode 9),,DefaultWidevineAndroidPhone,00:46:01,00:46:01,US (United States)
Mom,2021-10-21 15:35:40,00:00:09,,Season 3 Teaser 1: You,TEASER_TRAILER,DefaultWidevineAndroidPhone,00:00:08,00:00:08,US (United States)
Mom,2021-10-21 15:34:14,00:01:24,,You: Season 1: Everythingship (Episode 7),,DefaultWidevineAndroidPhone,00:01:23,00:01:23,US (United States)
Mom,2021-10-21 15:33:33,00:00:40,,Season 3 Teaser 1: You,TEASER_TRAILER,DefaultWidevineAndroidPhone,00:00:39,Not latest view,US (United States)
Mom,2021-10-18 05:02:29,00:00:10,,You: Season 1: Pilot (Episode 1),,DefaultWidevineAndroidPhone,00:00:10,00:00:10,US (United States)
