Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Mom,NFCDCH-AP-J1CPDA21LRYHF3WEEP19V9MREUE98J,Netflix Android Phone-Chrome Android Phone,,,,,,,,,
Zoie,NFCDCH-AP-J1CPDA21LRYHF3WEEP19V9MREUE98J,Netflix Android Phone-Chrome Android Phone,,,,,,,,,
Taylor,NFCDCH-AP-J1CPDA21LRYHF3WEEP19V9MREUE98J,Netflix Android Phone-Chrome Android Phone,,,,,,,,,
Zander,NFCDCH-AP-J1CPDA21LRYHF3WEEP19V9MREUE98J,Netflix Android Phone-Chrome Android Phone,,,,,,,,,
Stephen,NFCDCH-AP-J1CPDA21LRYHF3WEEP19V9MREUE98J,Netflix Android Phone-Chrome Android Phone,,,,,,,,,
Zoie,NFANDROID2-PRV-TVAFTBL-AMAZOAFTEAMR311-8075-0E752D7BD580F0ADBC6284C77058814D507DA7FF8CD550E9E2BFE52F349C76D0,Amazon TVAFTBL Smart TV,2021-03-12T23:26:18.543Z,2022-05-25T03:39:20.747Z,2021-03-12T23:26:18.543Z,2022-05-25T03:39:09.144Z,2021-03-12T23:26:18.543Z,2022-05-25T03:39:20.747Z,2021-03-12T23:26:18.543Z,2022-05-25T03:39:09.144Z,
Zander,NFANDROID2-PRV-TVAFTBL-AMAZOAFTEAMR311-8075-0E752D7BD580F0ADBC6284C77058814D507DA7FF8CD550E9E2BFE52F349C76D0,Amazon TVAFTBL Smart TV,2021-03-12T23:26:18.543Z,2022-05-25T03:39:20.747Z,2021-03-12T23:26:18.543Z,2022-05-25T03:39:09.144Z,2022-05-24T04:39:21.312Z,2022-05-25T03:38:38.385Z,2022-05-24T04:39:49.859Z,2022-05-24T06:06:12.924Z,
Zoie,LGTV20203=31012608675,LG DTV 2020 RTK K6Lp UHD TV Smart TV,2021-03-06T02:15:55.476Z,2022-05-24T13:36:47.516Z,2021-03-06T02:33:58.908Z,2022-05-24T13:36:47.516Z,2021-03-12T02:21:17.755Z,2022-05-24T13:36:47.516Z,2021-03-12T02:22:44.823Z,2022-05-24T13:36:47.516Z,
Zoie,LGTV20172=21005015026,LG 2017 LG M16p Standard UHD TV Smart TV,2020-07-06T06:43:09.420Z,2022-05-23T06:57:15.428Z,2020-07-06T06:43:09.420Z,2022-05-23T06:35:24.668Z,2021-02-20T16:16:03.007Z,2022-05-23T06:57:15.428Z,2021-02-20T16:16:24.715Z,2022-05-23T06:35:24.668Z,
Taylor,LGTV20203=31012608675,LG DTV 2020 RTK K6Lp UHD TV Smart TV,2021-03-06T02:15:55.476Z,2022-05-24T13:36:47.516Z,2021-03-06T02:33:58.908Z,2022-05-24T13:36:47.516Z,2021-03-12T03:31:43.774Z,2022-05-22T02:03:24.903Z,2021-03-12T03:37:59.192Z,2022-05-20T05:20:15.408Z,
Zander,LGTV20203=31012608675,LG DTV 2020 RTK K6Lp UHD TV Smart TV,2021-03-06T02:15:55.476Z,2022-05-24T13:36:47.516Z,2021-03-06T02:33:58.908Z,2022-05-24T13:36:47.516Z,2022-04-10T01:55:17.892Z,2022-05-22T02:03:04.672Z,2022-04-19T03:02:33.280Z,2022-05-22T01:31:46.976Z,
Zoie,RKU-8XXXX-YK00H0504687,Roku Midland Smart TV,2022-03-04T16:01:30.711Z,2022-05-21T17:42:03.772Z,2022-03-04T16:06:53.713Z,2022-05-21T17:20:19.558Z,2022-05-21T04:12:03.225Z,2022-05-21T17:42:03.772Z,2022-05-21T04:12:23.604Z,2022-05-21T17:20:19.558Z,
Stephen,RKU-8XXXX-YK00H0504687,Roku Midland Smart TV,2022-03-04T16:01:30.711Z,2022-05-21T17:42:03.772Z,2022-03-04T16:06:53.713Z,2022-05-21T17:20:19.558Z,,,,,
Taylor,LGTV20172=21005015026,LG 2017 LG M16p Standard UHD TV Smart TV,2020-07-06T06:43:09.420Z,2022-05-23T06:57:15.428Z,2020-07-06T06:43:09.420Z,2022-05-23T06:35:24.668Z,2021-03-29T00:43:20.193Z,2022-05-19T05:46:51.836Z,2021-03-29T00:43:45.632Z,2022-05-19T05:46:51.836Z,
Zander,LGTV20172=21005015026,LG 2017 LG M16p Standard UHD TV Smart TV,2020-07-06T06:43:09.420Z,2022-05-23T06:57:15.428Z,2020-07-06T06:43:09.420Z,2022-05-23T06:35:24.668Z,2022-03-29T04:03:34.808Z,2022-05-18T04:01:54.384Z,2022-03-29T04:03:34.808Z,2022-05-18T04:01:54.384Z,
Taylor,NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,DefaultWidevineAndroidPhone,2021-06-29T04:02:52.217Z,2022-05-15T04:35:07.411Z,2021-06-29T04:02:52.217Z,2022-05-15T04:35:07.411Z,2021-06-29T04:02:52.217Z,2022-05-15T04:35:07.411Z,2021-06-29T04:02:52.217Z,2022-05-15T04:35:07.411Z,
Zander,NFANDROID1-PRV-P-L3-GOOGLPIXEL=4A==5G=-22594-0207465DC51F09BEC18F659C9153355425DB591041FD7614C688CD3968B721AB3,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
Stephen,NFANDROID1-PRV-P-L3-GOOGLPIXEL=4A==5G=-22594-0207465DC51F09BEC18F659C9153355425DB591041FD7614C688CD3968B721AB3,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
Mom,NFANDROID1-PRV-P-L3-GOOGLPIXEL=4A==5G=-22594-0207465DC51F09BEC18F659C9153355425DB591041FD7614C688CD3968B721AB3,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
Zoie,NFANDROID1-PRV-P-L3-GOOGLPIXEL=4A==5G=-22594-0207465DC51F09BEC18F659C9153355425DB591041FD7614C688CD3968B721AB3,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
Taylor,NFANDROID1-PRV-P-L3-GOOGLPIXEL=4A==5G=-22594-0207465DC51F09BEC18F659C9153355425DB591041FD7614C688CD3968B721AB3,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
Mom,RKU-8XXXX-YK00H0504687,Roku Midland Smart TV,2022-03-04T16:01:30.711Z,2022-05-21T17:42:03.772Z,2022-03-04T16:06:53.713Z,2022-05-21T17:20:19.558Z,2022-03-04T16:01:30.711Z,2022-05-02T02:00:23.784Z,2022-03-04T16:06:53.713Z,2022-04-21T04:35:44.743Z,
Stephen,LGTV20172=21005015026,LG 2017 LG M16p Standard UHD TV Smart TV,2020-07-06T06:43:09.420Z,2022-05-23T06:57:15.428Z,2020-07-06T06:43:09.420Z,2022-05-23T06:35:24.668Z,2020-07-06T06:43:09.420Z,2022-04-24T05:08:19.046Z,2020-07-06T06:43:09.420Z,2022-04-17T05:14:47.952Z,
Zoie,NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-0D54DE0FA4EDAA2758565746A8DD49DCCBDABBDA12F347C69341A46B8ADBCCD7A,DefaultWidevineAndroidPhone,2021-03-15T05:39:57.811Z,2022-04-22T02:23:00.528Z,2021-03-15T05:39:57.811Z,2022-04-22T02:23:00.528Z,2021-04-23T13:38:16.814Z,2022-04-22T02:23:00.528Z,2021-04-23T13:38:16.814Z,2022-04-22T02:23:00.528Z,
Mom,NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-0D54DE0FA4EDAA2758565746A8DD49DCCBDABBDA12F347C69341A46B8ADBCCD7A,DefaultWidevineAndroidPhone,2021-03-15T05:39:57.811Z,2022-04-22T02:23:00.528Z,2021-03-15T05:39:57.811Z,2022-04-22T02:23:00.528Z,,,,,
Zander,NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-0D54DE0FA4EDAA2758565746A8DD49DCCBDABBDA12F347C69341A46B8ADBCCD7A,DefaultWidevineAndroidPhone,2021-03-15T05:39:57.811Z,2022-04-22T02:23:00.528Z,2021-03-15T05:39:57.811Z,2022-04-22T02:23:00.528Z,,,,,
