Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFANDROID2-PRV-TVAFTBL-AMAZOAFTEAMR311-8075-0E752D7BD580F0ADBC6284C77058814D507DA7FF8CD550E9E2BFE52F349C76D0,US,Amazon TVAFTBL Smart TV,Amazon TVAFTBL Smart TV,68.104.199.98,Arizona,2022-05-25T03:38:38.386Z
LGTV20203=31012608675,US,LG DTV 2020 RTK K6Lp UHD TV Smart TV,LG DTV 2020 RTK K6Lp UHD TV Smart TV,68.104.199.98,Arizona,2022-05-24T13:09:33.607Z
LGTV20172=21005015026,US,LG 2017 LG M16p Standard UHD TV Smart TV,LG 2017 LG M16p Standard UHD TV Smart TV,68.104.199.98,Arizona,2022-05-23T03:09:03.022Z
RKU-8XXXX-YK00H0504687,US,Roku TV 8XXXX,Roku Midland Smart TV,71.223.230.247,Arizona,2022-05-21T15:50:24.686Z
RKU-8XXXX-YK00H0504687,US,Roku TV 8XXXX,Roku Midland Smart TV,71.223.230.247,Arizona,2022-05-21T04:12:03.226Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,68.104.199.98,Arizona,2022-05-15T04:35:07.411Z
RKU-8XXXX-YK00H0504687,US,Roku TV 8XXXX,Roku Midland Smart TV,71.223.148.58,Arizona,2022-05-07T05:31:43.028Z
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-0D54DE0FA4EDAA2758565746A8DD49DCCBDABBDA12F347C69341A46B8ADBCCD7A,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,68.104.199.98,Arizona,2022-04-22T02:12:44.074Z
RKU-8XXXX-YK00H0504687,US,Roku TV 8XXXX,Roku Midland Smart TV,71.223.148.58,Arizona,2022-04-19T02:45:14.383Z
RKU-8XXXX-YK00H0504687,US,Roku TV 8XXXX,Roku Midland Smart TV,71.223.191.101,Arizona,2022-04-18T03:09:55.034Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2607:fb90:2d13:68b0:57a0:1654:219e:fbd5,Arizona,2022-04-13T23:12:56.451Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,34.204.55.187,Virginia,2022-04-13T22:04:39.457Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,44.194.129.78,Virginia,2022-04-13T18:04:45.947Z
RKU-8XXXX-YK00H0504687,US,Roku TV 8XXXX,Roku Midland Smart TV,71.223.191.101,Arizona,2022-04-11T01:59:21.061Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,68.104.199.98,Arizona,2022-04-01T04:03:03.385Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,68.104.199.98,Arizona,2022-03-31T04:04:29.152Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,44.194.129.78,Virginia,2022-03-29T18:59:34.260Z
NFANDROID1-PRV-P-GOOGLPIXEL=4A==5G=-17650-0C80B7C54D2C73B6FD708EC3636386790A75ACA65D008BB65B849EB2239357B72,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2607:fb90:2d8b:d954:dd6d:b710:6068:58be,Arizona,2022-03-28T01:29:45.394Z
