"Date","Gallons"
"01/30/2024","459"
"01/31/2024","164"
"02/01/2024","520"
"02/02/2024","280"
"02/03/2024","301"
"02/04/2024","238"
"02/05/2024","110"
"02/06/2024","148"
"02/07/2024","126"
"02/08/2024","269"
"02/09/2024","178"
"02/10/2024","179"
"02/11/2024","390"
"02/12/2024","176"
"02/13/2024","335"
"02/14/2024","146"
"02/15/2024","247"
"02/16/2024","179"
"02/17/2024","384"
"02/18/2024","260"
"02/19/2024","156"
"02/20/2024","210"
"02/21/2024","188"
"02/22/2024","291"
"02/23/2024","179"
"02/24/2024","310"
"02/25/2024","442"
"02/26/2024","190"
"02/27/2024","307"
"02/28/2024","263"
