"Date","Gallons"
"01/02/2024","499"
"01/03/2024","126"
"01/04/2024","416"
"01/05/2024","189"
"01/06/2024","538"
"01/07/2024","426"
"01/08/2024","171"
"01/09/2024","535"
"01/10/2024","201"
"01/11/2024","498"
"01/12/2024","188"
"01/13/2024","528"
"01/14/2024","609"
"01/15/2024","270"
"01/16/2024","500"
"01/17/2024","219"
"01/18/2024","687"
"01/19/2024","400"
"01/20/2024","496"
"01/21/2024","427"
"01/22/2024","135"
"01/23/2024","546"
"01/24/2024","120"
"01/25/2024","471"
"01/26/2024","176"
"01/27/2024","427"
"01/28/2024","513"
"01/29/2024","163"
"01/30/2024","459"
"01/31/2024","164"
